Latitude,Longitude
53.340962,-6.262287
53.356769,-6.26814
53.351182,-6.269859
53.346874,-6.272976
53.330662,-6.260177
53.343368,-6.27012
53.343565,-6.275071
53.347884,-6.248048
53.343034,-6.263578
53.344007,-6.266802
53.334019,-6.258371
53.359246,-6.269779
53.336074,-6.252825
53.344603,-6.263371
53.355473,-6.264423
53.347508,-6.252192
53.340803,-6.267732
53.334123,-6.265436
53.334432,-6.245575
53.336485,-6.248174
53.34218,-6.254485
53.345922,-6.254614
53.348279,-6.254662
53.352149,-6.260533
53.339434,-6.246548
53.339764,-6.251988
53.341288,-6.258117
53.356299,-6.258586
53.346057,-6.268001
53.353462,-6.265305
53.350929,-6.265125
53.344304,-6.250427
53.349013,-6.260311
53.330362,-6.265163
53.347692,-6.278214
53.337824,-6.256035
53.337494,-6.26199
53.350974,-6.25294
53.332383,-6.252717
53.3483,-6.266651
53.332763,-6.257942
53.349562,-6.278198
53.330091,-6.268044
53.358437,-6.260641
53.351464,-6.255265
53.347082,-6.264192
53.347777,-6.244239
53.347932,-6.240928
53.339334,-6.264699
53.338755,-6.262003
53.337132,-6.26059
53.336021,-6.26298
53.33403,-6.260714
53.33796,-6.24153
53.339629,-6.243778
53.339218,-6.240642
53.35561,-6.261397
53.359624,-6.260348
53.357043,-6.263232
53.346026,-6.243576
53.341428,-6.24672
53.345203,-6.247163
53.34744,-6.238523
53.347122,-6.234749
53.346867,-6.230852
53.344115,-6.237153
53.342638,-6.238695
53.341655,-6.236198
53.337757,-6.267699
53.343105,-6.277167
53.342081,-6.275233
53.343893,-6.280531
53.343456,-6.287409
53.342296,-6.287661
53.348875,-6.267459
53.359967,-6.264828
53.358115,-6.265601
53.341359,-6.292951
53.339983,-6.295594
53.341645,-6.29719
53.340714,-6.308191
53.339005,-6.300217
53.338776,-6.30395
53.347972,-6.291804
53.347477,-6.28525
53.3488,-6.281637
53.335211,-6.2509
53.344153,-6.233451
53.341833,-6.231291
53.347802,-6.292432
53.346603,-6.296924
53.346985,-6.297804
53.343897,-6.29706
53.341805,-6.305085
53.342113,-6.310015
53.341515,-6.256853
53.346637,-6.246154
53.347106,-6.292041
53.350291,-6.273507
53.354929,-6.269425
53.34779261,-6.22726053
53.33424783,-6.265138686
53.34494805,-6.249765605
53.34851312,-6.251051724
53.34296483,-6.242272854
53.34817688,-6.262080967
53.35182974,-6.25176385
53.35686542,-6.268160194
53.35398625,-6.264363527
53.34211451,-6.262504756
53.35055212,-6.271338612
53.33485887,-6.245986372
53.33769129,-6.262797117
53.35392471,-6.25826081
53.3509772,-6.264474839
53.35342112,-6.259794384
53.33630513,-6.265522242
53.34393043,-6.264283061
53.33299531,-6.252724081
53.34846989,-6.268814653
53.341293,-6.250445545
53.33366002,-6.258763075
53.34867644,-6.257420629
53.35221799,-6.249542981
53.35921696,-6.259003133
53.35274391,-6.26837343
53.35165203,-6.252315044
53.35275832,-6.268642992
53.35264945,-6.261105984
53.35410392,-6.257088035
53.33916468,-6.261493564
53.34695679,-6.254994571
53.34845548,-6.228922158
53.35708473,-6.258693337
53.34307452,-6.263477057
53.34103437,-6.267122179
53.34339079,-6.264492273
53.34308013,-6.263179332
53.3471065,-6.266077459
53.34126417,-6.272172779
53.34595443,-6.275383383
53.33677519,-6.248770505
53.33588071,-6.247810274
53.34158766,-6.255081743
53.34336116,-6.24988094
53.34337317,-6.245094538
53.33866101,-6.26622498
53.35013744,-6.269459724
53.35202907,-6.268934011
53.35419437,-6.257198006
53.3508299,-6.264808774
53.348618,-6.267952323
53.35896725,-6.269868761
53.34900307,-6.24368906
53.34960348,-6.24969855
53.34371105,-6.260666102
53.3400639,-6.261174381
53.34383275,-6.249374002
53.34522827,-6.255238652
53.34989648,-6.267784685
53.3519178,-6.268844157
53.34864922,-6.266541481
53.33448808,-6.26539886
53.34357364,-6.27489002
53.33909021,-6.263350993
53.34999014,-6.268060952
53.35296244,-6.259502023
53.35033197,-6.266872734
53.35440329,-6.256611943
53.34013196,-6.26113683
53.34997173,-6.267641187
53.34094069,-6.250421405
53.33881395,-6.243741363
53.33274144,-6.263815016
53.33893887,-6.264456064
53.352234,-6.259013861
53.34845308,-6.255112588
53.35073224,-6.254687458
53.33883157,-6.262134612
53.34064683,-6.263308078
53.33501182,-6.26537472
53.35618587,-6.265439093
53.35946908,-6.259095669
53.3351824,-6.265355945
53.35358842,-6.265075654
53.34184388,-6.250158548
53.3341197,-6.256172061
53.34716815,-6.268229932
53.34744836,-6.266204864
53.34645482,-6.27913177
53.34572226,-6.267873198
53.34433076,-6.267226785
53.34442924,-6.267397106
53.34716014,-6.257717013
53.33847123,-6.292895526
53.34695199,-6.277207285
53.33943693,-6.246668994
53.35073624,-6.270769984
53.35059775,-6.270670742
53.33709791,-6.248680651
53.36211259,-6.272837967
53.34814966,-6.262333095
53.34799275,-6.262656301
53.3481929,-6.260793507
53.33898211,-6.256654859
53.34144673,-6.255034804
53.34909033,-6.258557886
53.34132102,-6.257915497
53.34185349,-6.252296269
53.33711313,-6.244401187
53.33927038,-6.245165616
53.34738591,-6.253649443
53.34301848,-6.238718927
53.34339239,-6.238583475
53.34491682,-6.236217767
53.3476477,-6.24309361
53.34621063,-6.2415272
53.3417502,-6.252639592
53.35260382,-6.259177476
53.3378138,-6.240792274
53.33482844,-6.265382767
53.35520694,-6.245928705
53.35334747,-6.248283684
53.35134383,-6.269626021
53.34901267,-6.25492081
53.35066259,-6.254671365
53.3537389,-6.258886456
53.3399558,-6.260423362
53.34998454,-6.267024279
53.33662064,-6.265439093
53.3392936,-6.266015768
53.35237568,-6.25944972
53.35225641,-6.259444356
53.33423822,-6.26539886
53.34211691,-6.262373328
53.35127979,-6.263774782
53.3362755,-6.257439405
53.33690652,-6.25215143
53.34860279,-6.259725988
53.33232339,-6.274455339
53.34511458,-6.266537458
53.33919831,-6.273295283
53.34439721,-6.260206103
53.35032477,-6.2726596
53.3323394,-6.253476441
53.33551714,-6.250662804
53.34824573,-6.261388958
53.34790949,-6.263314784
53.33936646,-6.241157055
53.33894527,-6.244124919
53.34681028,-6.258493513
53.35146871,-6.252858192
53.34555893,-6.235854328
53.34893742,-6.24304533
53.34194797,-6.263821721
53.33800839,-6.255581975
53.34936332,-6.267700195
53.34796313,-6.26718387
53.34194076,-6.261603534
53.34913596,-6.258242726
53.34380633,-6.26198709
53.3428079,-6.242224574
53.350079,-6.267755181
53.34880213,-6.256624013
53.34901748,-6.255399585
53.34580232,-6.256809086
53.3398373,-6.260926276
53.34842026,-6.227487177
53.34615699,-6.261851639
53.35029835,-6.2569727
53.34583434,-6.259736717
53.34607693,-6.262689829
53.3327959,-6.262397468
53.33779779,-6.269115061
53.33666389,-6.243086904
53.34915197,-6.254668683
53.33774334,-6.266076118
53.36081366,-6.260073334
53.33737258,-6.265628189
53.33563406,-6.265334487
53.35602898,-6.256683022
53.34045385,-6.26425758
53.34104558,-6.26260668
53.34134584,-6.263074726
53.34365901,-6.261555254
53.34274625,-6.264543235
53.34206327,-6.264674664
53.35812925,-6.269145906
53.35209391,-6.26068756
53.33420699,-6.290507019
53.33621064,-6.265275478
53.34294562,-6.262984872
53.34274225,-6.263002306
53.33438318,-6.255485415
53.33374331,-6.25756681
53.34348527,-6.264339387
53.34402251,-6.266876757
53.34736269,-6.26842171
53.34653888,-6.267835647
53.34472227,-6.268506199
53.34537639,-6.267154366
53.34685272,-6.272738725
53.34818009,-6.257389784
53.34313377,-6.28135398
53.34155082,-6.275115162
53.34326188,-6.275891662
53.3480536,-6.275187582
53.35087553,-6.270484328
53.35221318,-6.260164529
53.34471186,-6.267481595
53.34468624,-6.267346144
53.34561337,-6.264945567
53.34549008,-6.264374256
53.34492803,-6.26306802
53.34562138,-6.262601316
53.34577029,-6.260741204
53.34702084,-6.25832051
53.33423022,-6.290792674
53.34617781,-6.259278059
53.34257811,-6.271794587
53.34286315,-6.277763844
53.34495686,-6.272678375
53.34817688,-6.294609457
53.34804559,-6.26865238
53.33552355,-6.250543445
53.33788988,-6.248227358
53.33777617,-6.248077154
53.35003177,-6.274377555
53.34944898,-6.277834922
53.33571254,-6.251549274
53.35308412,-6.285188198
53.34801997,-6.263397932
53.33592955,-6.265190989
53.35858467,-6.269591153
53.34852353,-6.264034957
53.33702184,-6.244546026
53.33091783,-6.258653104
53.34258852,-6.238808781
53.34532995,-6.239453852
53.34498248,-6.238279045
53.3450089,-6.235983074
53.34507375,-6.235950887
53.34482395,-6.238179803
53.34207047,-6.264417171
53.34433076,-6.233445704
53.34497847,-6.236972809
53.35609622,-6.287840903
53.3428119,-6.262051463
53.35301127,-6.26450032
53.34183507,-6.290662587
53.34779341,-6.279795617
53.34315219,-6.270240247
53.33649172,-6.265384108
53.34295923,-6.276079416
53.34612577,-6.293238848
53.33771531,-6.251306534
53.34296563,-6.264303178
53.34496807,-6.267253608
53.3442603,-6.26409933
53.34896464,-6.260648668
53.34181265,-6.252918541
53.33863779,-6.266168654
53.34391522,-6.267496347
53.34132903,-6.258029491
53.35051289,-6.265747547
53.34894062,-6.260790825
53.35126939,-6.250971258
53.35090915,-6.269926429
53.35177931,-6.263267845
53.34102076,-6.263511926
53.33286797,-6.265024692
53.34383996,-6.262032688
53.34680228,-6.263313442
53.33910542,-6.272449046
53.34332353,-6.269899607
53.34690716,-6.29202649
53.34351569,-6.288935244
53.34319623,-6.280841678
53.34538679,-6.265047491
53.34536358,-6.264875829
53.3450073,-6.263965219
53.3450113,-6.263536066
53.34571905,-6.261535138
53.34846509,-6.295009106
53.34809683,-6.262722015
53.34786626,-6.264595538
53.35108127,-6.252361983
53.34462059,-6.238356829
53.3446302,-6.236162782
53.3602014,-6.266330928
53.35003097,-6.267299205
53.34501931,-6.270107478
53.34837783,-6.257431358
53.34610495,-6.271288991
53.34238835,-6.263249069
53.34872687,-6.237128377
53.34829617,-6.296098083
53.3466958,-6.297288984
53.34794472,-6.257094741
53.34105679,-6.262814552
53.35093077,-6.265170872
53.34330432,-6.259318292
53.3359728,-6.247524619
53.34503372,-6.267343462
53.33655017,-6.265596002
53.34913196,-6.26895681
53.35023351,-6.266548187
53.35024071,-6.258189082
53.35103243,-6.249909103
53.33578381,-6.265365332
53.33561404,-6.265102476
53.35282476,-6.261722893
53.34952263,-6.252375394
53.34728023,-6.257043779
53.34717936,-6.257368326
53.34530433,-6.259280741
53.34428192,-6.25984937
53.35223079,-6.254621744
53.33592875,-6.263420731
53.33960508,-6.265754253
53.34363419,-6.261592805
53.35145831,-6.263879389
53.34110643,-6.265408248
53.34514581,-6.265803874
53.34523708,-6.265716702
53.34497847,-6.26422137
53.33775535,-6.251496971
53.35038881,-6.266094893
53.3472354,-6.280289143
53.33728289,-6.250061989
53.33837834,-6.247862577
53.33794353,-6.252391487
53.3381221,-6.253306121
53.33945615,-6.261253506
53.33967315,-6.261083186
53.33909421,-6.25698477
53.33977164,-6.261006743
53.34502571,-6.266705096
53.34338438,-6.249659657
53.34703925,-6.280277073
53.34885416,-6.2667346
53.34570624,-6.260680854
53.34573587,-6.26025036
53.34787667,-6.259184182
53.34688074,-6.26599431
53.3514511,-6.255045533
53.34033214,-6.265783757
53.35105325,-6.264296472
53.3447647,-6.268185675
53.33518961,-6.265089065
53.35171207,-6.260890067
53.34309454,-6.262542307
53.34307372,-6.263363063
53.34312737,-6.263764054
53.34388319,-6.262097061
53.34506734,-6.267238855
53.3483386,-6.278563142
53.34736029,-6.266171336
53.33381458,-6.251912713
53.34931769,-6.277897954
53.34803598,-6.26231432
53.34103037,-6.259095669
53.34124416,-6.256929785
53.34355492,-6.249551028
53.34838503,-6.260042489
53.33927598,-6.257686168
53.34846669,-6.264009476
53.35443291,-6.263313442
53.3487581,-6.255112588
53.33352788,-6.272549629
53.34618021,-6.257003546
53.35383416,-6.258065701
53.34278548,-6.260721087
53.34995172,-6.251509041
53.35554873,-6.264576763
53.34248363,-6.2644279
53.34945698,-6.248142868
53.3472354,-6.278260052
53.34093668,-6.292752028
53.33877552,-6.300144196
53.34525232,-6.26120358
53.3473715,-6.255120635
53.34397447,-6.249292195
53.34672142,-6.258726865
53.35037866,-6.26964894
53.34639767,-6.26580376
53.34152615,-6.27111868
53.34601317,-6.25398474
53.34296246,-6.27604571
53.34419083,-6.26785596
53.33147532,-6.2615502
53.3369826,-6.27290749
53.33689879,-6.27295291
53.34857168,-6.26792456
53.34166909,-6.27478408
53.35002236,-6.2689365
